name;company;technology;job;location;salary.low;salary.high;salary.currency
Data Analyst;DENTONS BUSINESS SERVICES EMEA;;data analyst;Zdalnie;12300;18400;PLN
Senior Business Analyst / Data Operating Model;Diverse CG;;data analyst;Warszawa;21000;24360;PLN
Marketing Data Senior Analyst/Marketing Automation;AI REV;;data analyst;Zdalnie;22680;31584;PLN
Remote Data Analyst/Data Engineering Team Lead;DataFeedWatch by Cart;;data analyst;Zdalnie;17000;23000;PLN
Marketing Data Analyst;Murka Games Limited;;data analyst;Zdalnie;10647;14906;PLN
Senior Data Analyst with French;Astral Forest;;data analyst;Zdalnie;18480;25200;PLN
Senior Data Analyst;SEON Technologies;;data analyst;Budapest;19864;24538;PLN
Data Quality Analyst;HL Tech;;data analyst;Zdalnie;12000;16000;PLN
Remote Senior Data Analyst;Sunscrapers;;data analyst;Zdalnie;20000;25000;PLN
Data Analyst;Lingaro;;data analyst;Zdalnie;20160;23520;PLN
Mid Data Analyst;Ework Group;;data analyst;Warszawa;11760;19320;PLN
Data Analytics Catalog Engineer/Analyst;MSD;;data analyst;Prague;14720;20240;PLN
Data Analytics Catalog Engineer/Analyst;MSD;;data analyst;Prague;14720;20240;PLN
Data Analyst ( US time);Acxiom GSC Polska Sp. z o.o.;;data analyst;Zdalnie;9000;10000;PLN
Senior Product/Data Analyst;Altexsoft;;data analyst;Zdalnie;19165;23423;PLN
Senior Product Data Analyst;Beekeeper AG;;data analyst;Zdalnie;16666;22500;PLN
Business Data Analyst / BI Engineer;NIX Tech Kft.;;data analyst;Budapest;9348;12853;PLN
SAP Analytics Solutions Specialist;Amer Sports;;data analyst;Krakow;14000;23000;PLN
PRODUCT ANALYST;STS S.A.;;data analyst;Katowice;10000;13000;PLN
Senior Product Analyst;Profitroom;;data analyst;Zdalnie;18000;23000;PLN
Analityk danych/ BI Developer;QBICO Sp. z o.o.;;data analyst;Zdalnie;5000;10000;PLN
Digital Analytics Specialist;MTA Digital;;data analyst;Zdalnie;9000;12000;PLN
Marketing Web Analytics Specialist;Vention;;data analyst;Warszawa;8500;16500;PLN
Lead Big Data Engineer (Python, Azure);EPAM;;data engineer;Zdalnie;24100;28600;PLN
Senior Data Analytics Engineer;AVENGA;;data engineer;Zdalnie;33600;42000;PLN
Senior Data Engineer - Data&AI;Allegro;;data engineer;Warszawa;16100;23200;PLN
Data Engineer - Data&AI;Allegro;;data engineer;Warszawa;12300;17600;PLN
Data Engineer (Snowflake);Amer Sports;;data engineer;Krakow;14000;21000;PLN
Cloud Native Data Engineer;Link Group;;data engineer;Kraków;23520;31920;PLN
Senior Data Engineer with Python;Grafton Recruitment;;data engineer;Poznań;11000;22000;PLN
Lead Data Engineer;Addepto;;data engineer;Zdalnie;20160;30240;PLN
Data Platform Engineer English & German;Qurate Retail Group Global Business Services sp. z o.o.;;data engineer;Zdalnie;18000;20000;PLN
Lead Data Engineer (GCP);Onwelo Sp. z o.o.;;data engineer;Zdalnie;24000;30000;PLN
Data Engineer (Financial Crime);SEB (Skandinaviska Enskilda Banken);;data engineer;Warszawa;28000;34000;PLN
Software Development Engineer III - Data;Tesco Technology;;data engineer;Kraków;26000;40000;PLN
Data Engineer;Unikie;;data engineer;Zdalnie;20000;29000;PLN
Remote Mid Data Engineer;Link Group;;data engineer;Zdalnie;16800;19320;PLN
Senior Data Engineer;Devire;;data engineer;Zdalnie;30240;33600;PLN
Senior Principal Software Engineer (Data Ingest);Splunk Services Sp. z o.o.;;data engineer;Kraków;33333;45833;PLN
Data Engineer;Travelplanet.pl SA (Invia Group);;data engineer;Wrocław;18000;23000;PLN
Senior Data Platform Engineer;Elitmind;;data engineer;Zdalnie;19992;28056;PLN
Senior Big Data Engineer;Grid Dynamics;;data engineer;Kraków;21000;37000;PLN
Mid Data & AI Engineer - FULLY REMOTE;Nest Bank;;data engineer;Zdalnie;15000;22000;PLN
Senior/Regular Google Cloud Data Engineer;Nordcloud;;data engineer;Zdalnie;20000;30000;PLN
Senior Data Engineer;Nordcloud;;data engineer;Zdalnie;25000;30000;PLN
Data Engineer;STX Next;;data engineer;Zdalnie;19500;22400;PLN
Data Engineer;STX Next;;data engineer;Zdalnie;22400;28800;PLN
Senior Data Engineer;NIX Tech Kft.;;data engineer;Budapest;11685;23370;PLN
Remote MLOps Engineer / Data Scientist;Addepto;;data engineer;Zdalnie;12600;20160;PLN
Data Engineer III - Fulfillment;Tesco Technology;;data engineer;Kraków;26000;40000;PLN
Data Engineer II - Fulfillment;Tesco Technology;;data engineer;Kraków;20000;30000;PLN
Remote Lead QA Data Engineer;Link Group;;data engineer;Zdalnie;30240;38640;PLN
Data Engineer (real-time);Codete;;data engineer;Zdalnie;25200;28560;PLN
Data Automation & AI Engineer;Pitney Bowes Polska Sp. z o.o.;;data engineer;Zdalnie;15000;20000;PLN
Mid Data Engineer z Azure - Remote;Link Group;;data engineer;Zdalnie;21840;26880;PLN
Big Data Engineer;Onwelo Sp. z o.o.;;data engineer;Zdalnie;14700;21000;PLN
Senior Data Engineer (Databricks);Altimetrik Poland;;data engineer;Zdalnie;28000;31000;PLN
QA / Test Data Engineer;Reply Polska;;data engineer;Katowice;10000;20000;PLN
Cloud Data Engineer;Link Group;;data engineer;Warsaw;30000;35000;PLN
Data Engineer / DataOps with SQL;Roche;;data engineer;Warszawa;14000;16000;PLN
Data Engineer;AVENGA;;data engineer;Warszawa;25200;28560;PLN
Data Engineer;Netguru;;data engineer;Zdalnie;22680;30240;PLN
Remote Data Engineer;Connectis_;;data engineer;Zdalnie;25000;30000;PLN
Remote Senior Data Engineer;Sunscrapers;;data engineer;Zdalnie;28000;35000;PLN
Data Engineer (hybryda z Warszawy);Link Group;;data engineer;Warszawa;20000;25000;PLN
Data Engineer in Test;SoftwareOne;;data engineer;Zdalnie;14000;26000;PLN
Senior Azure Data engineer;SoftwareOne;;data engineer;Zdalnie;14000;26000;PLN
Data Engineer with GCP;GFT Poland;;data engineer;Poznań;20160;33600;PLN
Mid Data Engineer with Java / C#;Antal Sp. z.o.o.;;data engineer;Kraków;22000;25000;PLN
Mid Data Engineer with C++;Antal Sp. z.o.o.;;data engineer;Kraków;22000;25000;PLN
Big Data Hadoop Engineer (Mid);Ework Group;;data engineer;Zdalnie;16800;26880;PLN
Data Platform Engineer/Consultant;Elitmind;;data engineer;Zdalnie;13944;19992;PLN
Data Engineer;Unity Group;;data engineer;Zdalnie;18400;25200;PLN
Senior Cloud Data Engineer;SEB (Skandinaviska Enskilda Banken);;data engineer;Warszawa;30000;35000;PLN
Senior Data Engineer;SEB (Skandinaviska Enskilda Banken);;data engineer;Warszawa;34000;37000;PLN
Data Engineer;SEB (Skandinaviska Enskilda Banken);;data engineer;Warszawa;27000;33000;PLN
Senior Software Engineer for Data Strategy Team;Sportradar;;data engineer;Wrocław;26000;29300;PLN
Senior Data Engineer with Snowflake;Objectivity - part of Accenture;;data engineer;Zdalnie;21840;26040;PLN
Data Analytics Catalog Engineer/Analyst;MSD;;data engineer;Prague;14720;20240;PLN
Data Analytics Catalog Engineer/Analyst;MSD;;data engineer;Prague;14720;20240;PLN
Data engineer;Trans-Sped Kft;;data engineer;Budapest;12853;16358;PLN
Lead Data Engineer (AWS/Azure);EPAM;;data engineer;Zdalnie;22400;25400;PLN
Senior Data Engineer;Brainly Sp. z o.o.;;data engineer;Zdalnie;20000;28000;PLN
Senior Big Data Engineer;Capgemini Polska Sp. z o.o.;;data engineer;Katowice;20160;23520;PLN
Senior Data Engineer;Beekeeper AG;;data engineer;Zdalnie;21666;32083;PLN
Business Data Analyst / BI Engineer;NIX Tech Kft.;;data engineer;Budapest;9348;12853;PLN
Remote Azure Data Engineer;YourITeams;;data engineer;Zdalnie;26000;28500;PLN
Data Engineer Azure;Zone IT Sp. z o.o.;;data engineer;Wrocław;18000;26000;PLN
Senior Big Data Engineer;Devire;;data engineer;Zdalnie;25200;33600;PLN
Data Engineer (Dataiku/Linkurious);Sopra Steria - Apps Services;;data engineer;Zdalnie;16000;21000;PLN
Remote Junior Data Engineer with Python;Addepto;;data engineer;Zdalnie;6500;12000;PLN
ETL Developer;Devire;;data engineer;Zdalnie;20160;23520;PLN
Business Intelligence Analytics Engineer I;Jamf;;data engineer;Zdalnie;10000;10800;PLN
Remote Azure Cloud Architect (Data);Link Group;;data engineer;Zdalnie;36960;42000;PLN
Data Engineering Architect;Lingaro;;data engineer;Zdalnie;28560;33600;PLN
Mid Big Data Developer;The Stepstone Group Polska Sp. z o.o.;;data engineer;Zdalnie;12000;17000;PLN
Cloud Data Architect (GCP/Azure);Elitmind;;data engineer;Zdalnie;24024;31920;PLN
Big Data Developer – energy sector;Sii Polska;;data engineer;Zdalnie;23100;37800;PLN
Senior Data Architect  - Data Powered Sales;Digital Hub Warsaw at Bayer;;data engineer;Warsaw;19840;28760;PLN
Data Architect;Concentrix;;data engineer;Zdalnie;35000;41000;PLN
Data Consultant/ Developer;Netcompany Poland;;data engineer;Warsaw;9000;15000;PLN
Data Solution Developer;Acxiom GSC Polska Sp. z o.o.;;data engineer;Zdalnie;9500;17000;PLN
Data Solution Architect;EPAM;;data engineer;Zdalnie;26400;31400;PLN
PRINCIPAL DATA SOLUTIONS ARCHITECT;N-iX;;data engineer;Zdalnie;30459;40459;PLN
Data Architect;Impel S.A.;;data engineer;Wrocław;25000;25000;PLN
Junior Python Developer - Data Pipeline Specialist;juucy;;data engineer;Zdalnie;12000;12000;PLN
Data Scientist - Mid;Diverse CG;;data scientist;Warszawa;20160;21840;PLN
Senior/Lead Data Scientist;Link Group;;data scientist;Warsaw;20000;30000;PLN
Senior Data Scientist;NIX Tech Kft.;;data scientist;Budapest;11685;15190;PLN
Senior Data Scientist;Link Group;;data scientist;Warsaw;20000;30000;PLN
Senior Data Scientist;SEB (Skandinaviska Enskilda Banken);;data scientist;Warszawa;22000;27000;PLN
Remote MLOps Engineer / Data Scientist;Addepto;;data scientist;Zdalnie;12600;20160;PLN
Remote Data Scientist;Addepto;;data scientist;Zdalnie;12600;18480;PLN
Data Scientist;Lingaro;;data scientist;Zdalnie;21840;25200;PLN
Data Scientist;ASTEK Polska;;data scientist;Trójmiasto;12600;23520;PLN
Senior Specialist - Data Scientist;ING BANK ŚLĄSKI SPÓŁKA AKCYJNA;;data scientist;Warszawa;9000;18000;PLN
Senior Data Scientist;in4ge sp. z o.o.;;data scientist;Zdalnie;20000;28000;PLN
Senior Data Scientist;Focal Systems;;data scientist;Zdalnie;25000;35000;PLN
Senior Data Scientist;SKY ENGINE AI;;data scientist;Warsaw;20000;28000;PLN
Data Scientist (AI);Addepto;;data scientist;Zdalnie;6000;12000;PLN
Senior Python Developer (AI/ML/MLOps);Link Group;;data scientist;Kraków;23000;28000;PLN
Remote ML Ops Engineer - Mid;Diverse CG;;data scientist;Zdalnie;17640;21000;PLN
Cloud Data Engineer;Link Group;;data scientist;Warsaw;30000;35000;PLN
Senior Data Engineer;Nordcloud;;data scientist;Zdalnie;25000;30000;PLN
MLOps Engineer;YozmaTech;;data scientist;Zdalnie;750;1500;USD
Senior Data Engineer (Databricks);Altimetrik Poland;;data scientist;Zdalnie;28000;31000;PLN
